,title,num_comments,grade,price,district,type,num_bedrooms,num_beds,num_toilets,num_people_can_in,labels,district_en,popularity,price level,type_new,ownership,price_group2,price level2,apartment,share
0,顾村公园商圈/华山医院/上海大学/静安寺/交通大学//徐家汇/7&15顾村公园地铁站步行5分钟,4,5.0,70,宝山区,公寓型住宅里的独立房间,1,1,1.0,1,"['近地铁站', '可以做饭']",Baoshan,6.931471805599453,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
1,顾村公园商圈/静安寺/7&15顾村公园地铁站步行5分钟,5,5.0,65,宝山区,公寓型住宅里的独立房间,1,1,1.5,2,"['灵活取消', '近地铁站']",Baoshan,8.047189562170502,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
2,顾村公园地铁站附近商圈近医院别墅区空调单间,5,4.8,70,宝山区,别墅里的独立房间,1,1,4.5,1,"['超赞房东', '可开发票', '行李寄存', '免费停车', '可以做饭', '花园或后院']",Baoshan,7.725301979683681,very cheap,Villa,Indivual Room,group1,very cheap,Non-apartment,Not Shared
3,【暖小窝-5】1-2同济大学鞍山一村loft清新森系带阁楼二层，近新华医院紫荆广场,3,5.0,60,杨浦区,LOFT里的合住房间,1,1,1.5,1,"['超赞房东', '灵活取消', '近地铁站', '可以做饭']",Yangpu,5.493061443340549,very cheap,LOFT,Shared Room,group1,very cheap,Non-apartment,Not Shared
4,静安嘉里中心地带女生合用间沙发床,8,4.8,72,静安区,公寓型住宅里的合住房间,1,1,1.0,1,"['超赞房东', '自助入住', '近地铁站', '可以做饭']",Jing'an,9.981319400063212,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
5,【暖小窝-12（温馨女生四人间）】凤城路104弄，近黄兴路江浦路地铁站紧邻五角场同济新华医院紫荆广场,2,5.0,64,杨浦区,公寓型住宅里的合住房间,1,1,1.0,1,"['超赞房东', '灵活取消', '近地铁站', '可以做饭']",Yangpu,3.4657359027997265,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
6,外滩～豪华女生4人间～上海火车站店,40,4.8,67,静安区,公寓型住宅里的合住房间,1,4,1.0,1,"['超赞房东', '近地铁站', '可以做饭', '小区环境好']",Jing'an,17.706621379746892,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
7,摩卡A特价平层【INS风拍照泳池】【烧烤BBQ】近野生动物园地铁站可住四人,5,5.0,70,浦东新区,别墅里的独立房间,1,2,1.0,4,"['可开发票', '行李寄存', '免费停车', '可以做饭', '桌游', '花园或后院']",Pudong,8.047189562170502,very cheap,Villa,Indivual Room,group1,very cheap,Non-apartment,Not Shared
8,一号线地铁旁公寓客厅屏风内沙发,28,4.8,67,宝山区,公寓型住宅里的合住房间,1,1,1.0,1,"['可开发票', '行李寄存', '自助入住', '近地铁站', '可以做饭', '可以停车']",Baoshan,15.994581648840978,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
9,Super Cool & Awesome LivingRm Couch,44,4.7,70,虹口区,公寓型住宅里的合住房间,1,1,1.0,1,"['超赞房东', '近地铁站', '免费停车', '可以做饭', '浴缸']",Hongkou,17.78569127941583,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
10,"月租85折，可隔断加小床成独立房，共住一人客厅，Metro13号线陈春路 到新天地,南京西路 需押金",1,5.0,70,浦东新区,公寓里的独立房间,1,1,1.0,1,"['超赞房东', '灵活取消', '行李寄存', '自助入住', '近地铁站', '免费停车']",Pudong,0.0,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
11,别墅：青年床位D｜LGBT｜女性｜大天窗｜应届生｜创业空间｜艺术驻村｜单人帐篷｜七号线美兰湖地铁站,4,5.0,72,宝山区,别墅里的合住房间,1,1,1.0,1,"['灵活取消', '行李寄存', '可以做饭', '桌游', '花园或后院', '烧烤区']",Baoshan,6.931471805599453,very cheap,Villa,Shared Room,group1,very cheap,Non-apartment,Not Shared
12,途舍 | 西藏北路地铁口 舒适男生八人间 近人民广场 外滩 南京路 上海火车站 虹口足球场,1,3.0,58,静安区,旅舍里的合住房间,1,0,7.0,6,"['灵活取消', '近地铁站']",Jing'an,0.0,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
13,【暖小窝-3】1-1凤城二村同济大学四平校区清新森系公寓毗邻新华医院紫荆广场五角场商业圈床位,1,5.0,64,杨浦区,公寓里的合住房间,1,1,1.0,1,"['超赞房东', '灵活取消', '行李寄存', '近地铁站', '免费停车', '可以做饭']",Yangpu,0.0,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
14,上海火车站附近的天涯驿站……男生6人间，带独立飘窗,47,4.8,67,静安区,公寓里的合住房间,1,4,2.0,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '浴缸']",Jing'an,18.48070848820828,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
15,走遍天下不是梦，十一号线地铁口近。生态公园也挺近的。,1,4.0,64,浦东新区,公寓里的合住房间,1,4,1.0,8,"['灵活取消', '提供接送机', '行李寄存', '自助入住', '近地铁站', '可以做饭']",Pudong,0.0,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
16,精品女生8人间独立卫浴……近外滩……东方明珠……火车站店,15,4.6,67,黄浦区,民居里的合住房间,1,6,2.5,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '浴缸', '允许吸烟']",Huangpu,12.457030925070166,very cheap,Bungalow,Shared Room,group1,very cheap,Non-apartment,Not Shared
17,原文内容因不符合当地法规，将不在此显示。,15,4.7,67,静安区,公寓里的合住房间,1,4,2.0,1,"['超赞房东', '灵活取消', '近地铁站', '可以做饭', '浴缸', '允许吸烟']",Jing'an,12.727835945180388,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
18,【虹桥枢纽】市中心繁华街区小清新高性价比青旅 邻近娄山关地铁二号线  直达虹桥机场/虹桥火车站,2,4.0,68,长宁区,旅舍里的合住房间,1,6,2.0,6,"['灵活取消', '行李寄存', '近地铁站', '可以做饭', '允许吸烟']",Changning,2.772588722239781,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
19,城市月光青旅,3,5.0,66,闵行区,公寓里的合住房间,1,2,3.0,1,"['灵活取消', '允许吸烟']",Minhang,5.493061443340549,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
20,高观景三人女生床位房，8号线中兴路地铁站3号口300米，外滩/豫园/步行街/新天地/田子坊10分钟,29,4.7,70,静安区,公寓型住宅里的合住房间,1,3,1.5,3,"['近地铁站', '允许吸烟', '可以停车']",Jing'an,15.82629040093643,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
21,近虹桥火车站，上海南站，上海火车站，国家会展中心，虹桥机场多人间民宿出租,1,5.0,70,长宁区,公寓里的合住房间,1,1,1.0,1,"['灵活取消', '近地铁站', '可以做饭', '允许吸烟']",Changning,0.0,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
22,熊小米公寓-九亭店,2,5.0,65,松江区,公寓里的合住房间,1,4,1.0,4,"['可开发票', '灵活取消', '近地铁站', '免费停车', '浴缸', '可携宠物']",Songjiang,3.4657359027997265,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
23,荆棘鸟青年旅社,4,4.0,65,嘉定区,民居里的合住房间,1,1,2.0,4,"['灵活取消', '免费停车', '可以做饭', '浴缸', '小区环境好', '供应早餐']",Jiading,5.545177444479562,very cheap,Bungalow,Shared Room,group1,very cheap,Non-apartment,Not Shared
24,风尚精品女生8人间～独立卫浴～独立飘窗,4,4.5,67,静安区,民居里的合住房间,1,6,2.5,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '花园或后院', '浴缸']",Jing'an,6.238324625039508,very cheap,Bungalow,Shared Room,group1,very cheap,Non-apartment,Not Shared
25,地铁11号线 南翔花园别墅 - 半明地下室、独立单间,5,4.4,72,嘉定区,民居里的独立房间,1,1,1.0,1,"['行李寄存', '自助入住', '免费停车', '可以做饭', '花园或后院']",Jiading,7.081526814710042,very cheap,Bungalow,Indivual Room,group1,very cheap,Non-apartment,Not Shared
26,外滩精致女生8人间～独立飘窗～独立卫浴,4,5.0,67,静安区,民居里的合住房间,1,6,2.5,8,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '浴缸', '小区环境好']",Jing'an,6.931471805599453,very cheap,Bungalow,Shared Room,group1,very cheap,Non-apartment,Not Shared
27,地铁八站地到徐家汇，地中海风格男生四人间上下铺，打车十分钟到虹桥机场火车站，,1,5.0,67,松江区,公寓型住宅里的合住房间,1,4,2.5,1,"['灵活取消', '行李寄存', '自助入住', '可以做饭', '允许吸烟', '可以停车']",Songjiang,0.0,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
28,外滩江景女神（四人间）每位单价 近城隍庙、人民广场、东方明珠,1,3.0,67,黄浦区,旅舍里的合住房间,1,1,0.0,1,"['灵活取消', '近地铁站']",Huangpu,0.0,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
29,吉祥公寓9号线七宝九亭店,1,5.0,65,松江区,公寓型住宅里的合住房间,1,2,2.0,2,"['可开发票', '灵活取消', '自助入住', '近地铁站', '浴缸', '可携宠物']",Songjiang,0.0,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
