,0
0,外滩 日式 民俗 风 23 楼 江景 榻榻米 公寓 步行 五分钟 到 外滩 自助 入住 靠近 城隍庙 南京路 步行街 东方明珠
1,衡复 文化区 1 号 复兴 路上 的 绝美 艺术 公寓
2,衡复 文化区 1 号 复兴 路上 的 绝美 艺术 公寓
3,roomnoname 📷 80 年代 复 古老 上海 风情 近 静安寺 愚园 路 蔦 屋 书店 江苏 路
4,roomnoname 📷 80 年代 复 古老 上海 风情 近 静安寺 愚园 路 蔦 屋 书店 江苏 路
5,江阙 紧邻 外滩 高层 复式 loft 限时 长租 特惠 北外滩 外滩 江景 投影 交通 便捷 近 地铁 1012
6,TheVisionontheBund 外滩 景观 房 与 东方明珠 隔 江相望 市级 优秀 保护 建筑
7,TheVisionontheBund 外滩 景观 房 与 东方明珠 隔 江相望 市级 优秀 保护 建筑
8,黄埔 2 号 复兴 路上 的 绝美 艺术 公寓
9,地铁站 附近 的 空调 小房间 双层床
10,鹿头舍 徐家汇 日式 禅境 民宿 徐家汇 地铁 191134 步行 5 分钟 直达 迪斯尼
11,花园式 古宅 改建 阁楼 阳光房
12,外滩 270 度大窗 江景 电梯 房
13,SuperviewQueenRoomatheartXinTianDi
14,SuperviewQueenRoomatheartXinTianDi
15,3d 观影 xbox 体感 游戏 xmii ™ 轻奢 文艺 大床 木屋 配地 暖 浴缸 厨房 衣帽间 景观 阳台 近 迪士尼
16,卿 山小筑 大隐于 市 梧桐树 下 老 上海 2 分钟 到 陕西 南路 站 淮海中路 地铁 1 站 达 南京 西 2 站 抵 外滩
17,new 宿 喵 居 回忆 纯白 木结构 老房 loft 江苏 路 静安寺 中山公园 2 号 11 号线 地铁 5 分钟
18,SiXANG 上海 外滩 大 空间 大 阳台 BVLGAR 同款 景观 超 美的 外滩 黄浦江 夜景 150 平
19,hipstudio 温馨 上海音乐学院 老洋房 离 地铁 5 分钟
20,上海 南京 西路 地铁口 老洋房 紧靠 人民广场 外滩 美签 静安寺 上海展览中心 静安寺 上海戏剧学院
