,title,num_comments,grade,price,district,type,num_bedrooms,num_beds,num_toilets,num_people_can_in,labels,district_en
0,顾村公园商圈/华山医院/上海大学/静安寺/交通大学//徐家汇/7&15顾村公园地铁站步行5分钟,4,5,70,宝山区,公寓型住宅里的独立房间,1,1,1,1,"['近地铁站', '可以做饭']",Baoshan
1,顾村公园商圈/静安寺/7&15顾村公园地铁站步行5分钟,5,5,65,宝山区,公寓型住宅里的独立房间,1,1,1.5,2,"['灵活取消', '近地铁站']",Baoshan
2,顾村公园地铁站附近商圈近医院别墅区空调单间,5,4.8,70,宝山区,别墅里的独立房间,1,1,4.5,1,"['超赞房东', '可开发票', '行李寄存', '免费停车', '可以做饭', '花园或后院']",Baoshan
3,【暖小窝-5】1-2同济大学鞍山一村loft清新森系带阁楼二层，近新华医院紫荆广场,3,5,60,杨浦区,LOFT里的合住房间,1,1,1.5,1,"['超赞房东', '灵活取消', '近地铁站', '可以做饭']",Yangpu
4,静安嘉里中心地带女生合用间沙发床,8,4.8,72,静安区,公寓型住宅里的合住房间,1,1,1,1,"['超赞房东', '自助入住', '近地铁站', '可以做饭']",Jing'an
5,【暖小窝-12（温馨女生四人间）】凤城路104弄，近黄兴路江浦路地铁站紧邻五角场同济新华医院紫荆广场,2,5,64,杨浦区,公寓型住宅里的合住房间,1,1,1,1,"['超赞房东', '灵活取消', '近地铁站', '可以做饭']",Yangpu
6,外滩～豪华女生4人间～上海火车站店,40,4.8,67,静安区,公寓型住宅里的合住房间,1,4,1,1,"['超赞房东', '近地铁站', '可以做饭', '小区环境好']",Jing'an
7,摩卡A特价平层【INS风拍照泳池】【烧烤BBQ】近野生动物园地铁站可住四人,5,5,70,浦东新区,别墅里的独立房间,1,2,1,4,"['可开发票', '行李寄存', '免费停车', '可以做饭', '桌游', '花园或后院']",Pudong
8,一号线地铁旁公寓客厅屏风内沙发,28,4.8,67,宝山区,公寓型住宅里的合住房间,1,1,1,1,"['可开发票', '行李寄存', '自助入住', '近地铁站', '可以做饭', '可以停车']",Baoshan
9,Super Cool & Awesome LivingRm Couch,44,4.7,70,虹口区,公寓型住宅里的合住房间,1,1,1,1,"['超赞房东', '近地铁站', '免费停车', '可以做饭', '浴缸']",Hongkou
10,"月租85折，可隔断加小床成独立房，共住一人客厅，Metro13号线陈春路 到新天地,南京西路 需押金",1,5,70,浦东新区,公寓里的独立房间,1,1,1,1,"['超赞房东', '灵活取消', '行李寄存', '自助入住', '近地铁站', '免费停车']",Pudong
11,别墅：青年床位D｜LGBT｜女性｜大天窗｜应届生｜创业空间｜艺术驻村｜单人帐篷｜七号线美兰湖地铁站,4,5,72,宝山区,别墅里的合住房间,1,1,1,1,"['灵活取消', '行李寄存', '可以做饭', '桌游', '花园或后院', '烧烤区']",Baoshan
12,途舍 | 西藏北路地铁口 舒适男生八人间 近人民广场 外滩 南京路 上海火车站 虹口足球场,1,3,58,静安区,旅舍里的合住房间,1,0,7,6,"['灵活取消', '近地铁站']",Jing'an
13,【暖小窝-3】1-1凤城二村同济大学四平校区清新森系公寓毗邻新华医院紫荆广场五角场商业圈床位,1,5,64,杨浦区,公寓里的合住房间,1,1,1,1,"['超赞房东', '灵活取消', '行李寄存', '近地铁站', '免费停车', '可以做饭']",Yangpu
14,上海火车站附近的天涯驿站……男生6人间，带独立飘窗,47,4.8,67,静安区,公寓里的合住房间,1,4,2,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '浴缸']",Jing'an
15,走遍天下不是梦，十一号线地铁口近。生态公园也挺近的。,1,4,64,浦东新区,公寓里的合住房间,1,4,1,8,"['灵活取消', '提供接送机', '行李寄存', '自助入住', '近地铁站', '可以做饭']",Pudong
16,精品女生8人间独立卫浴……近外滩……东方明珠……火车站店,15,4.6,67,黄浦区,民居里的合住房间,1,6,2.5,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '浴缸', '允许吸烟']",Huangpu
17,原文内容因不符合当地法规，将不在此显示。,15,4.7,67,静安区,公寓里的合住房间,1,4,2,1,"['超赞房东', '灵活取消', '近地铁站', '可以做饭', '浴缸', '允许吸烟']",Jing'an
18,【虹桥枢纽】市中心繁华街区小清新高性价比青旅 邻近娄山关地铁二号线  直达虹桥机场/虹桥火车站,2,4,68,长宁区,旅舍里的合住房间,1,6,2,6,"['灵活取消', '行李寄存', '近地铁站', '可以做饭', '允许吸烟']",Changning
19,城市月光青旅,3,5,66,闵行区,公寓里的合住房间,1,2,3,1,"['灵活取消', '允许吸烟']",Minhang
20,高观景三人女生床位房，8号线中兴路地铁站3号口300米，外滩/豫园/步行街/新天地/田子坊10分钟,29,4.7,70,静安区,公寓型住宅里的合住房间,1,3,1.5,3,"['近地铁站', '允许吸烟', '可以停车']",Jing'an
21,近虹桥火车站，上海南站，上海火车站，国家会展中心，虹桥机场多人间民宿出租,1,5,70,长宁区,公寓里的合住房间,1,1,1,1,"['灵活取消', '近地铁站', '可以做饭', '允许吸烟']",Changning
22,熊小米公寓-九亭店,2,5,65,松江区,公寓里的合住房间,1,4,1,4,"['可开发票', '灵活取消', '近地铁站', '免费停车', '浴缸', '可携宠物']",Songjiang
23,荆棘鸟青年旅社,4,4,65,嘉定区,民居里的合住房间,1,1,2,4,"['灵活取消', '免费停车', '可以做饭', '浴缸', '小区环境好', '供应早餐']",Jiading
24,风尚精品女生8人间～独立卫浴～独立飘窗,4,4.5,67,静安区,民居里的合住房间,1,6,2.5,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '花园或后院', '浴缸']",Jing'an
25,地铁11号线 南翔花园别墅 - 半明地下室、独立单间,5,4.4,72,嘉定区,民居里的独立房间,1,1,1,1,"['行李寄存', '自助入住', '免费停车', '可以做饭', '花园或后院']",Jiading
26,外滩精致女生8人间～独立飘窗～独立卫浴,4,5,67,静安区,民居里的合住房间,1,6,2.5,8,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '浴缸', '小区环境好']",Jing'an
27,地铁八站地到徐家汇，地中海风格男生四人间上下铺，打车十分钟到虹桥机场火车站，,1,5,67,松江区,公寓型住宅里的合住房间,1,4,2.5,1,"['灵活取消', '行李寄存', '自助入住', '可以做饭', '允许吸烟', '可以停车']",Songjiang
28,外滩江景女神（四人间）每位单价 近城隍庙、人民广场、东方明珠,1,3,67,黄浦区,旅舍里的合住房间,1,1,0,1,"['灵活取消', '近地铁站']",Huangpu
29,吉祥公寓9号线七宝九亭店,1,5,65,松江区,公寓型住宅里的合住房间,1,2,2,2,"['可开发票', '灵活取消', '自助入住', '近地铁站', '浴缸', '可携宠物']",Songjiang
30,风尚精品女生8人间～独立卫浴～独立飘窗,4,4.5,65,静安区,民居里的合住房间,1,6,2.5,1,"['超赞房东', '行李寄存', '近地铁站', '可以做饭', '花园或后院', '浴缸']",Jing'an
31,地铁11号线 南翔花园别墅 - 半明地下室、独立单间,5,4.4,65,嘉定区,民居里的独立房间,1,1,1,1,"['行李寄存', '自助入住', '免费停车', '可以做饭', '花园或后院']",Jiading
32,吉祥公寓9号线七宝九亭店,1,5,61,松江区,公寓型住宅里的合住房间,1,2,2,2,"['可开发票', '灵活取消', '自助入住', '近地铁站', '浴缸', '可携宠物']",Songjiang
33,别墅：青年床位C｜LGBT｜女性｜大天窗｜应届生｜创业空间｜艺术驻村｜单人帐篷｜七号线美兰湖地铁站,2,5,72,宝山区,别墅里的合住房间,1,1,1,1,"['灵活取消', '行李寄存', '可以做饭', '桌游', '花园或后院', '烧烤区']",Baoshan
34,三人行国际青年旅社,2,5,70,静安区,民居里的合住房间,1,12,2,2,"['灵活取消', '近地铁站', '免费停车', '可以做饭']",Jing'an
35,九城湖滨，男生四人间床位一个铺@九亭地铁@九号线,2,5,71,松江区,公寓型住宅里的合住房间,1,4,2,4,"['灵活取消', '小区环境好']",Songjiang
36,上海不约而同精品青年旅舍，上海性价比最高的青年旅社，临近人广和外滩,11,4.1,66,静安区,旅舍里的合住房间,1,6,1,6,"['灵活取消', '近地铁站', '免费停车', '可以做饭', '小区环境好']",Jing'an
37,四人间80cm上下铺床位（一个床位价格）,40,3.9,68,浦东新区,公寓型住宅里的合住房间,1,4,1,4,['近地铁站'],Pudong
38,上海不约而同精品青年旅舍，上海性价比最高的青年旅社，临近人广和外滩,3,4.7,71,静安区,旅舍里的合住房间,1,3,1,6,"['灵活取消', '近地铁站', '免费停车', '可以做饭', '小区环境好']",Jing'an
39,上海dsy青年旅社,3,5,69,浦东新区,公寓型住宅里的合住房间,1,16,2,6,"['灵活取消', '自助入住', '近地铁站']",Pudong
40,途舍 | 西藏北路地铁口 舒适女生六人间 近人民广场 外滩 南京路 上海火车站 虹口足球场,1,5,62,静安区,旅舍里的合住房间,1,6,3,6,"['灵活取消', '近地铁站']",Jing'an
41,顾村公园商圈/华山医院/上海大学/静安寺/交通大学//徐家汇/7&15顾村公园地铁站步行5分钟,4,5,62,宝山区,公寓型住宅里的独立房间,1,1,1,1,"['近地铁站', '可以做饭']",Baoshan
42,漕宝路地铁站/徐汇日月光1公里，非常温馨的独立次卧,4,5,80,徐汇区,公寓型住宅里的独立房间,0,1,1,1,"['灵活取消', '近地铁站', '可以做饭']",Xuhui
43,静安嘉里中心地带女生合用间沙发床,8,4.8,80,静安区,公寓型住宅里的合住房间,1,1,1,1,"['超赞房东', '自助入住', '近地铁站', '可以做饭']",Jing'an
44,摩卡A特价平层【INS风拍照泳池】【烧烤BBQ】近野生动物园地铁站可住四人,5,5,80,浦东新区,别墅里的独立房间,1,2,1,4,"['可开发票', '行李寄存', '免费停车', '可以做饭', '桌游', '花园或后院']",Pudong
45,上海市杨浦区地铁八号线旁单间出租,6,5,88,杨浦区,公寓型住宅里的独立房间,1,1,1,1,"['超赞房东', '灵活取消', '近地铁站']",Yangpu
46,10分钟步行至三号线友谊路地铁站，美食一条街,23,4.9,88,宝山区,公寓型住宅里的独立房间,1,1,1,2,"['超赞房东', '近地铁站', '可以做饭']",Baoshan
47,欢聚六人间丨一张床位丨公共卫浴 近人民广场19号地铁口丨住繁华的南京东路步行街丨享免费健身房、影院,37,4.8,92,黄浦区,旅舍里的合住房间,1,1,1,1,"['可开发票', '灵活取消', '行李寄存', '自助入住', '近地铁站', '投影仪']",Huangpu
48,静安嘉里中心地带！女生独卫厨公寓房（床位）,15,4.9,79,静安区,公寓型住宅里的合住房间,1,1,1,1,"['超赞房东', '近地铁站', '可以做饭']",Jing'an
49,欢聚十人间丨一张床位丨公共卫浴 近人民广场地铁口 住繁华的南京东路步行街 年轻人玩乐社区,24,4.7,74,黄浦区,旅舍里的合住房间,1,1,0,1,"['可开发票', '灵活取消', '行李寄存', '自助入住', '近地铁站', '可以停车']",Huangpu
50,杨浦区地铁房,10,5,88,杨浦区,公寓型住宅里的独立房间,1,1,1,1,"['超赞房东', '近地铁站']",Yangpu
51,欢聚八人间丨一张床位丨公共卫浴 人民广场19号地铁口丨住南京东路步行街 免费健身房、洗衣,42,4.8,81,黄浦区,旅舍里的合住房间,1,1,0,1,"['可开发票', '灵活取消', '行李寄存', '自助入住', '近地铁站', '投影仪']",Huangpu
52,5-6近徐家汇漕河泾虹桥机场火车站,1,5,78,闵行区,公寓型住宅里的独立房间,1,1,1.5,1,"['可以做饭', '可以停车']",Minhang
53,地铁5号线西渡站3号口旁小别墅1楼独立大房间带阳台卫生间大厨房长短租,23,4.8,90,奉贤区,别墅里的独立房间,1,1,1,2,"['超赞房东', '灵活取消', '近地铁站', '可以做饭', '花园或后院', '可携宠物']",Fengxian
54,中间客厅宽敞舒适明亮，周边滨江步道，漂亮的小花园,9,4.1,88,闵行区,公寓型住宅里的独立房间,1,1,1.5,1,"['可开发票', '灵活取消', '可以做饭', '花园或后院', '浴缸']",Minhang
55,昌吉东路地铁站附近单间不吵不闹睡个好觉,7,5,87,嘉定区,客房里的独立房间,1,1,1.5,1,"['超赞房东', '自助入住', '近地铁站', '免费停车', '可以做饭', '可携宠物']",Jiading
56,舒适卫生ins风独立房间近地铁11号线周边保利大剧院、州桥老街等直达迪士尼,65,5,89,嘉定区,LOFT里的独立房间,1,1,1.5,2,"['超赞房东', '灵活取消', '近地铁站', '免费停车', '可以做饭']",Jiading
57,静安嘉里中心地带，女生公寓独卫厨沙发床,13,4.9,72,静安区,公寓型住宅里的合住房间,1,1,1,1,"['超赞房东', '自助入住', '近地铁站', '可以做饭']",Jing'an
58,自贸区 外高桥 航津路 活力单人间 ＃1202,24,5,88,浦东新区,公寓型住宅里的独立房间,1,1,1,1,"['超赞房东', '灵活取消']",Pudong
59,栖心D【INS风拍照泳池】【烧烤BBQ】近野生动物园地铁站 1.8大床,3,5,76,浦东新区,整套民居,1,1,1,2,"['可开发票', '提供接送机', '行李寄存', '免费停车', '可以做饭', '桌游']",Pudong
60,月租85折，独立房间，13号线陈春路站，到新天地，南京西路Subway line13 博华路 需押金,3,5,85,浦东新区,公寓型住宅里的独立房间,1,1,1,1,"['超赞房东', '灵活取消', '行李寄存', '自助入住', '近地铁站', '免费停车']",Pudong
61,panda cabin _4号房,6,4.5,84,普陀区,公寓型住宅里的独立房间,1,1,1,2,"['灵活取消', '近地铁站']",Putuo
62,1号线地铁站旁花园民宿单人间,3,5,80,宝山区,民居里的独立房间,1,1,2,1,"['超赞房东', '可开发票', '行李寄存', '自助入住', '近地铁站', '可以停车']",Baoshan
63,「狮子座女生的loft床位」9号线九亭站靠近虹桥七宝松江大学城国家会展中心,10,4.6,75,松江区,LOFT里的合住房间,1,1,1,1,"['灵活取消', '近地铁站', '免费停车', '供应早餐']",Songjiang
64,单人公寓B 国家会展中心/虹桥枢纽,4,4.8,75,青浦区,整套公寓,1,1,1,1,"['超赞房东', '可开发票', '灵活取消', '免费停车']",Qingpu
65,独卫单人间随机分配近虹桥火车站，可年租,4,5,78,青浦区,公寓型住宅里的独立房间,1,1,1,1,"['灵活取消', '行李寄存', '自助入住', '允许吸烟']",Qingpu
66,新场舒适新居，卫生间干湿分离。厨房设备齐全。客厅有4k家庭影院，露台和庭院有60平方,4,4.8,85,浦东新区,别墅里的独立房间,1,1,2,1,"['超赞房东', '灵活取消', '免费停车', '可以做饭', '花园或后院']",Pudong
67,优质高档公寓,3,4,89,嘉定区,公寓型住宅里的独立房间,1,1,1,1,"['可开发票', '灵活取消', '提供接送机', '行李寄存', '自助入住', '花园或后院']",Jiading
68,短租，旅游看过来哦，长租更优惠哈，上海大学，锦秋花园小别墅,1,5,90,宝山区,民居里的独立房间,1,1,1,1,"['超赞房东', '灵活取消', '近地铁站', '花园或后院']",Baoshan
69,新场坦直镇中心，自建房新装修，热情好客，生活方便，毗邻广场，停车场,3,5,85,浦东新区,民居里的独立房间,1,1,2,1,"['超赞房东', '灵活取消', '行李寄存', '自助入住', '免费停车', '可以做饭']",Pudong
70,中环温馨房间 （可月租）,2,1,90,普陀区,公寓型住宅里的独立房间,0,1,1,1,['灵活取消'],Putuo
71,｛狮子座｝女生床位（2人间）单人单床/仅限女生/9号线九亭地铁站七宝虹桥徐家汇17分钟,4,5,80,松江区,LOFT里的合住房间,1,1,1,1,"['灵活取消', '近地铁站', '免费停车', '供应早餐']",Songjiang
72,一楼玉虚2人间/连 住优惠/旅游必选/景区/地铁口/城隍庙,2,5,85,黄浦区,旅舍里的合住房间,1,1,2,3,['灵活取消'],Huangpu
